"","question","answers"
"1","id","NA"
"2","submitdate","NA"
"3","lastpage","NA"
"4","startlanguage","NA"
"5","Zufallsgeneratorstartwert","NA"
"6","startdate","NA"
"7","datestamp","NA"
"8","Welchem Geschlecht ordnen Sie sich zu?","c(""männlich"", ""weiblich"", ""divers)"")"
"9","Wie alt sind Sie?","c(""< 20 Jahre"", ""20 - 24 Jahre"", ""25 - 29 Jahre"", ""30 - 34 Jahre"", ""35 - 39 Jahre"", ""40 - 44 Jahre"", ""45 - 49 Jahre"", ""50 - 54 Jahre"", ""55 - 59 Jahre"", ""> 60 Jahre)"")"
"10","Wie viele Semester studieren Sie insgesamt schon?","c(""1. Semester"", ""2. Semester"", ""3. Semester"", ""4. Semester"", ""5. Semester"", ""6. Semester"", ""7. Semester"", ""8. Semester"", ""9. Semester"", ""10. Semester"", ""11. Semester"", ""12. Semester"", ""13. Semester"", ""14. Semester"", ""15. Semester"", ""16. Semester"", ""17. Semester"", ""18. Semester"", ""19. Semester"", ""20. Semester"", ""> 20. Semester)"")"
"11","In welchem Fachbereich studieren Sie?","c(""Agrar- und Forstwissenschaften"", ""Gesellschafts- und Sozialwissenschaften"", ""Ingenieurwissenschaften"", ""Kunst"", ""Musik"", ""Design"", ""Lehramt"", ""Mathematik"", ""Naturwissenschaften (inkl. Informatik)"", ""Medizin"", ""Gesundheitswissenschaften"", ""Sprach- und Kulturwissenschaften"", ""Wirtschafts- und Rechtswissenschaften"", ""Öffentliche Verwaltung)"")"
"33","In den folgenden Frageblöcken geht es um die Interaktion in Online Lernmanagementsystemen. Innerhalb dieser gibt es Kurse, in denen sich Lehrpersonen und Studierende austauschen können.  Es ist Ihre Meinung zu verschiedenen Aspekten dieser Online Kurse gefragt.","NA"
"34","[... wissen, ob Lehrpersonen gerade auf den Online-Kurs zugreifen.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Ich möchte ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
