"","question","answers"
"1","id","NA"
"2","submitdate","NA"
"3","lastpage","NA"
"4","startlanguage","NA"
"5","Random generator start value","NA"
"6","startdate","NA"
"7","datestamp","NA"
"8","What gender do you identify with?","c(""male"", ""female"", ""diverse"")"
"9","How old are you?","c(""< 20 years"", ""20 - 24 years"", ""25 - 29 years"", ""30 - 34 years"", ""35 - 39 years"", ""40 - 44 years"", ""45 - 49 years"", ""50 - 54 years"", ""55 - 59 years"", ""> 60 years"")"
"10","How many semesters have you been studying in total?","c(""1st semester"", ""2nd semester"", ""3rd semester"", ""4th semester"", ""5th semester"", ""6th semester"", ""7th semester"", ""8th semester"", ""9th semester"", ""10th semester"", ""11th semester"", ""12th semester"", ""13th semester"", ""14th semester"", ""15th semester"", ""16th semester"", ""17th semester"", ""18th semester"", ""19th semester"", ""20th semester"", ""> 20th semester"")"
"11","What is your field of study?","c(""Agricultural and Forestry Sciences"", ""Social Sciences"", ""Engineering Sciences"", ""Arts"", ""Music"", ""Design"", ""Teacher Training"", ""Mathematics"", ""Natural Sciences (including Computer Science)"", ""Medicine"", ""Health Sciences"", ""Languages and Cultural Studies"", ""Economics and Law"", ""Public Administration"")"
"33","The following question blocks focus on interaction in online learning management systems. Within these, there are courses where teachers and students can exchange ideas. Your opinion on various aspects of these online courses is requested.","NA"
"34","[... know if teachers are currently accessing the online course.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"35","[... know what teachers are currently working on in the online course.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"36","[... know when teachers last accessed the online course.] Online status and awareness of the working environment. Please indicate how much you agree with each of the following statements (1 = strongly disagree, 5 = strongly agree). I would like ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
