"","question","answers"
"1","id","NA"
"2","submitdate","NA"
"3","lastpage","NA"
"4","startlanguage","NA"
"5","Zufallsgeneratorstartwert","NA"
"6","startdate","NA"
"29","In den folgenden Frageblöcken geht es um die Interaktion in Online Lernmanagementsystemen. Innerhalb dieser gibt es Kurse, in denen sich Lehrpersonen und Studierende austauschen können.  Es ist Ihre Meinung zu verschiedenen Aspekten dieser Online Kurse gefragt.","NA"
"30","[... ob ich oder andere Lehrpersonen gerade auf den Online-Kurs zugreifen.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"31","[... woran ich oder andere Lehrpersonen gerade im Online-Kurs arbeiten.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
"32","[... wann ich oder andere Lehrpersonen zuletzt auf den Online-Kurs zugegriffen haben.] Online Status und Bewusstsein für die Arbeitsumgebung  Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen (1 = stimme nicht zu, 5 = stimme vollständig zu).  Für mich als Lehrperson ist es in Ordnung, wenn Studierende wissen, ...","c(""stimme nicht zu"", ""stimme eher nicht zu"", ""teils-teils"", ""stimme eher zu"", ""stimme vollständig zu"", ""keine Antwort)"")"
