"","question","answers"
"1","id","NA"
"2","submitdate","NA"
"3","lastpage","NA"
"4","startlanguage","NA"
"5","Random generator seed","NA"
"6","startdate","NA"
"29","The following question blocks address interaction in online learning management systems. These include courses where teachers and students can communicate. Your opinion is sought on various aspects of these online courses.","NA"
"30","[... whether I or other teachers are currently accessing the online course.] Online status and awareness of the work environment. Please indicate for each of the following statements how much you agree with it (1 = strongly disagree, 5 = strongly agree). As a teacher, I am fine if students know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"31","[... what I or other teachers are currently working on in the online course.] Online status and awareness of the work environment. Please indicate for each of the following statements how much you agree with it (1 = strongly disagree, 5 = strongly agree). As a teacher, I am fine if students know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"32","[... when I or other teachers last accessed the online course.] Online status and awareness of the work environment. Please indicate for each of the following statements how much you agree with it (1 = strongly disagree, 5 = strongly agree). As a teacher, I am fine if students know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"33","[... how much time I or other teachers spent in the online course today.] Online status and awareness of the work environment. Please indicate for each of the following statements how much you agree with it (1 = strongly disagree, 5 = strongly agree). As a teacher, I am fine if students know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"34","[... how much time I or other teachers spent in the online course over the past week and past 30 days.] Online status and awareness of the work environment. Please indicate for each of the following statements how much you agree with it (1 = strongly disagree, 5 = strongly agree). As a teacher, I am fine if students know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
"35","[... how much time I or other teachers have spent in the online course since the beginning of the semester.] Online status and awareness of the work environment. Please indicate for each of the following statements how much you agree with it (1 = strongly disagree, 5 = strongly agree). As a teacher, I am fine if students know ...","c(""strongly disagree"", ""somewhat disagree"", ""neutral"", ""somewhat agree"", ""strongly agree"", ""no answer)"")"
